ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2017-02-01,6138.716765,5880.923763124271,6391.206788384872,6138.716765,6138.716765,0.0,0.0,0.0,0.0,0.0,0.0,6138.716765
2017-03-01,5875.395443010338,5613.622563412591,6124.710263531765,5875.395443010338,5875.395443010338,0.0,0.0,0.0,0.0,0.0,0.0,5875.395443010338
2017-04-01,5583.861117272766,5327.438757771057,5857.756911354149,5583.861117272766,5583.861117272766,0.0,0.0,0.0,0.0,0.0,0.0,5583.861117272766
2017-05-01,5301.656689052275,5059.171423563682,5571.297913018449,5301.656689052275,5301.656689052275,0.0,0.0,0.0,0.0,0.0,0.0,5301.656689052275
2017-05-02,5292.249874778258,5032.068104845333,5546.722405046434,5292.249874778258,5292.249874778258,0.0,0.0,0.0,0.0,0.0,0.0,5292.249874778258
2017-05-03,5282.843060504242,5019.918664331772,5530.654428112612,5282.843060504242,5282.843060504242,0.0,0.0,0.0,0.0,0.0,0.0,5282.843060504242
2017-05-04,5273.436246230226,5023.306299564016,5536.524059359982,5273.436246230226,5273.436246230226,0.0,0.0,0.0,0.0,0.0,0.0,5273.436246230226
2017-05-05,5264.02943195621,5004.7763886176135,5512.724860044151,5264.02943195621,5264.02943195621,0.0,0.0,0.0,0.0,0.0,0.0,5264.02943195621
2017-05-06,5254.622617682194,4996.421103411823,5504.714073953868,5254.622617682194,5254.622617682194,0.0,0.0,0.0,0.0,0.0,0.0,5254.622617682194
2017-05-07,5245.215803408178,4993.334847521873,5486.223653701808,5245.215803408178,5245.215803408178,0.0,0.0,0.0,0.0,0.0,0.0,5245.215803408178
2017-05-08,5235.808989134161,4974.062832331696,5481.872320133776,5235.808989134161,5235.808989134161,0.0,0.0,0.0,0.0,0.0,0.0,5235.808989134161
2017-05-09,5226.402174860144,4984.863272740939,5484.415385786446,5226.402174860144,5226.402174860144,0.0,0.0,0.0,0.0,0.0,0.0,5226.402174860144
2017-05-10,5216.995360586127,4968.126055970359,5469.038789455293,5216.995360586127,5216.995360586127,0.0,0.0,0.0,0.0,0.0,0.0,5216.995360586127
2017-05-11,5207.588546312111,4982.2779312725215,5463.176426008858,5207.588417944722,5207.588546312111,0.0,0.0,0.0,0.0,0.0,0.0,5207.588546312111
2017-05-12,5198.181732038095,4957.598449353103,5442.580628437061,5198.1812979875085,5198.181994365891,0.0,0.0,0.0,0.0,0.0,0.0,5198.181732038095
2017-05-13,5188.774917764078,4949.977019955226,5425.77050567654,5188.77401165085,5188.775638426574,0.0,0.0,0.0,0.0,0.0,0.0,5188.774917764078
2017-05-14,5179.368103490063,4907.116244690751,5423.805303778099,5179.366938936824,5179.369369447886,0.0,0.0,0.0,0.0,0.0,0.0,5179.368103490063
2017-05-15,5169.961289216046,4916.350481648689,5427.279120047693,5169.959687902234,5169.9629891365985,0.0,0.0,0.0,0.0,0.0,0.0,5169.961289216046
2017-05-16,5160.55447494203,4905.133558912791,5410.113996407432,5160.552238028497,5160.556614910898,0.0,0.0,0.0,0.0,0.0,0.0,5160.55447494203
2017-05-17,5151.147660668013,4888.200929819244,5414.917428808335,5151.1443230906925,5151.150751506028,0.0,0.0,0.0,0.0,0.0,0.0,5151.147660668013
2017-05-18,5141.740846393996,4877.2297586514715,5384.123767194027,5141.736794632455,5141.744565223519,0.0,0.0,0.0,0.0,0.0,0.0,5141.740846393996
2017-05-19,5132.33403211998,4878.372327896768,5396.825507080684,5132.329288743284,5132.338633064974,0.0,0.0,0.0,0.0,0.0,0.0,5132.33403211998
2017-05-20,5122.927217845964,4882.3741686851645,5366.221981537908,5122.922104081378,5122.932358871754,0.0,0.0,0.0,0.0,0.0,0.0,5122.927217845964
2017-05-21,5113.520403571948,4851.0422715872155,5364.360451120445,5113.514333531008,5113.526443050556,0.0,0.0,0.0,0.0,0.0,0.0,5113.520403571948
2017-05-22,5104.113589297932,4836.2626129883365,5355.777626431115,5104.106627600758,5104.120315323325,0.0,0.0,0.0,0.0,0.0,0.0,5104.113589297932
2017-05-23,5094.706775023916,4826.776789751922,5358.654057336229,5094.698609649263,5094.714352188962,0.0,0.0,0.0,0.0,0.0,0.0,5094.706775023916
2017-05-24,5085.299960749899,4848.40331972771,5318.539905467998,5085.290896265828,5085.308646523682,0.0,0.0,0.0,0.0,0.0,0.0,5085.299960749899
2017-05-25,5075.893146475882,4808.288003517784,5339.907242506116,5075.883212229589,5075.9023720506575,0.0,0.0,0.0,0.0,0.0,0.0,5075.893146475882
2017-05-26,5066.4863322018655,4816.185767171923,5314.315970959447,5066.475674201069,5066.49628031714,0.0,0.0,0.0,0.0,0.0,0.0,5066.4863322018655
2017-05-27,5057.079517927849,4809.896284462186,5319.7003581731105,5057.0679609056015,5057.09220458924,0.0,0.0,0.0,0.0,0.0,0.0,5057.079517927849
2017-05-28,5047.672703653833,4800.78528017758,5291.306504046066,5047.65969018346,5047.685911667438,0.0,0.0,0.0,0.0,0.0,0.0,5047.672703653833
2017-05-29,5038.265889379817,4784.943477286728,5268.997984972969,5038.251850177008,5038.280085006596,0.0,0.0,0.0,0.0,0.0,0.0,5038.265889379817
2017-05-30,5028.859075105801,4787.768870597013,5294.199610052891,5028.84372079997,5028.874373350515,0.0,0.0,0.0,0.0,0.0,0.0,5028.859075105801
2017-05-31,5019.452260831785,4752.882095019487,5257.944648864039,5019.435496306998,5019.468766375404,0.0,0.0,0.0,0.0,0.0,0.0,5019.452260831785
